BLA,20190506,0.25,0.252,0.225,0.225,377634
BLD,20190506,4.99,5.035,4.95,4.97,4938700
BLG,20190506,0.17,0.175,0.17,0.175,215409
BLK,20190506,0.011,0.012,0.01,0.011,17918475
BLT,20190506,0.135,0.135,0.135,0.135,139919
BLU,20190506,0.061,0.061,0.058,0.059,503152
BLX,20190506,1,1.007,1,1,24435
BLY,20190506,0.004,0.004,0.004,0.004,7732564
BLZ,20190506,0.021,0.022,0.02,0.022,3124683
BMG,20190506,0.009,0.009,0.009,0.009,842141
BMN,20190506,0.047,0.047,0.045,0.045,1713948
BMT,20190506,0.15,0.16,0.145,0.16,783296
BNL,20190506,0.006,0.006,0.006,0.006,130329
BNO,20190506,0.13,0.13,0.125,0.13,220458
BNR,20190506,0.017,0.017,0.017,0.017,25000
BOA,20190506,0.175,0.175,0.15,0.15,98688
BOC,20190506,0.125,0.125,0.125,0.125,750
BOE,20190506,0.049,0.049,0.046,0.047,1119596
BOL,20190506,0.155,0.155,0.145,0.15,1359152
BOQ,20190506,8.9,8.94,8.8,8.82,2884367
BOT,20190506,0.11,0.11,0.1,0.1,741815
BPL,20190506,0.016,0.016,0.015,0.015,294092
BPP,20190506,0.019,0.019,0.019,0.019,899000
BPT,20190506,1.98,1.992,1.905,1.955,20106133
BRB,20190506,0.35,0.35,0.335,0.34,169784
BRG,20190506,18.96,19.25,18.8,19.02,672900
BRK,20190506,0.012,0.012,0.012,0.012,2122746
BRL,20190506,0.13,0.135,0.13,0.13,436017
BRN,20190506,0.053,0.053,0.051,0.051,1095504
BRU,20190506,0.25,0.255,0.245,0.245,195985
BSA,20190506,0.275,0.275,0.275,0.275,209833
BSE,20190506,0.27,0.27,0.265,0.265,88726
BSL,20190506,13.48,13.68,13.31,13.35,2476818
BSM,20190506,0.009,0.009,0.009,0.009,8713637
BST,20190506,0.97,0.975,0.965,0.975,21097
BSX,20190506,0.064,0.064,0.064,0.064,109413
BTC,20190506,0.07,0.07,0.07,0.07,9699
BTH,20190506,0.495,0.495,0.475,0.475,693961
BTI,20190506,0.895,0.94,0.895,0.935,461930
BUB,20190506,1.545,1.615,1.475,1.475,35461625
BUD,20190506,0.069,0.069,0.067,0.067,864765
BUG,20190506,0.22,0.22,0.22,0.22,91271
BUX,20190506,0.115,0.115,0.11,0.11,192828
BVS,20190506,5.93,6.05,5.92,5.97,1823683
BWF,20190506,0.845,0.85,0.84,0.85,13810
BWP,20190506,3.65,3.655,3.62,3.62,736210
BWR,20190506,1.4,1.4,1.4,1.4,13656
BWX,20190506,2.08,2.12,2.03,2.1,308652
BXB,20190506,12.1,12.135,11.84,12.08,3027474
BXN,20190506,0.017,0.017,0.017,0.017,384754
BYE,20190506,0.31,0.31,0.295,0.295,222769
BYH,20190506,0.074,0.074,0.074,0.074,34557
C6C,20190506,1.005,1.025,1.005,1.025,1532
CAA,20190506,0.12,0.125,0.12,0.125,136277
CAD,20190506,0.002,0.002,0.001,0.001,1881513
CAF,20190506,0.088,0.092,0.088,0.092,11746
CAG,20190506,0.92,0.95,0.9,0.95,27550
CAI,20190506,0.026,0.026,0.024,0.024,1191012
CAJ,20190506,0.26,0.26,0.25,0.25,1369334
CAM,20190506,0.88,0.88,0.875,0.875,84822
CAN,20190506,2.38,2.4,2.31,2.32,160374
CAP,20190506,0.058,0.061,0.057,0.061,970859
CAR,20190506,13.44,13.62,13.34,13.38,604112
CAT,20190506,1.335,1.335,1.21,1.25,2278031
CAV,20190506,0.005,0.005,0.005,0.005,400000
CAY,20190506,0.21,0.215,0.2,0.2,357693
CAZ,20190506,0.02,0.02,0.019,0.019,71980
CBA,20190506,74.47,75.24,74.29,74.94,1921358
CBC,20190506,0.95,0.95,0.95,0.95,8500
CBY,20190506,0.29,0.29,0.29,0.29,10000
CCA,20190506,0.038,0.04,0.038,0.04,135904
CCL,20190506,8.91,8.92,8.75,8.83,757053
CCP,20190506,23.59,23.81,23.42,23.76,255323
CCV,20190506,0.155,0.155,0.15,0.15,78981
CCX,20190506,1.645,1.645,1.615,1.625,110791
CD3,20190506,1.59,1.59,1.59,1.59,12034
CDA,20190506,3.25,3.34,3.23,3.34,86269
CDD,20190506,0.975,0.995,0.97,0.985,95172
CDM,20190506,0.81,0.825,0.795,0.805,305708
CDP,20190506,6.76,6.77,6.7,6.7,9256
CDV,20190506,0.39,0.395,0.385,0.385,23410
CDX,20190506,0.038,0.038,0.036,0.036,439548
CDY,20190506,0.2,0.2,0.195,0.195,79482
CE1,20190506,0.034,0.034,0.028,0.03,1207099
CEN,20190506,6.45,6.47,6.43,6.45,4994
CFE,20190506,0.015,0.015,0.015,0.015,1329790
CFO,20190506,0.22,0.225,0.22,0.22,56690
CG1,20190506,0.34,0.34,0.31,0.31,96600
CGA,20190506,0.34,0.34,0.34,0.34,2359
CGC,20190506,5.56,5.58,5.35,5.35,1956414
CGF,20190506,8.23,8.28,7.96,7.98,1795085
CGL,20190506,7.1,7.1,6.91,7,243510
CGO,20190506,0.12,0.12,0.12,0.12,3448
CGR,20190506,0.47,0.47,0.465,0.465,46742
CGS,20190506,0.24,0.25,0.24,0.25,11000
CHC,20190506,9.76,9.92,9.75,9.89,1141640
CHK,20190506,0.011,0.011,0.01,0.01,200000
CHN,20190506,0.12,0.125,0.12,0.12,84941
CI1,20190506,0.013,0.013,0.011,0.011,1856065
CIA,20190506,2.25,2.28,2.22,2.27,199305
CIE,20190506,0.79,0.795,0.785,0.79,174493
CIM,20190506,48.78,48.97,44.65,46.5,1022675
CIN,20190506,30.49,30.49,30.49,30.49,527
CIO,20190506,0.003,0.003,0.003,0.003,8571563
CIP,20190506,3.03,3.04,2.99,3.03,80562
CIW,20190506,0.46,0.46,0.45,0.45,36706
CKA,20190506,0.059,0.06,0.059,0.059,507055
CKF,20190506,8.05,8.08,7.99,8.06,754674
CL1,20190506,1.73,1.74,1.7,1.71,232359
CL8,20190506,0.009,0.009,0.009,0.009,1022250
CLA,20190506,0.017,0.017,0.016,0.017,952766
CLB,20190506,0.1,0.1,0.1,0.1,50000
CLH,20190506,1.28,1.285,1.26,1.28,199450
CLI,20190506,0.035,0.038,0.034,0.035,18672053
CLQ,20190506,0.31,0.315,0.295,0.3,1013797
CLV,20190506,2.36,2.44,2.3,2.35,240261
CLW,20190506,4.51,4.57,4.46,4.47,400030
CLX,20190506,0.825,0.825,0.825,0.825,1704
CLZ,20190506,0.001,0.001,0.001,0.001,6985050
CM8,20190506,0.014,0.016,0.014,0.014,1288352
CMA,20190506,2.54,2.55,2.52,2.53,215658
CMM,20190506,0.083,0.083,0.083,0.083,310108
CMP,20190506,0.545,0.55,0.545,0.55,78741
CMW,20190506,1.14,1.15,1.132,1.15,4621792
CNI,20190506,1.395,1.41,1.395,1.395,103953
CNJ,20190506,0.013,0.013,0.013,0.013,50000
CNL,20190506,0.075,0.075,0.075,0.075,6667
CNU,20190506,5.76,5.8,5.7,5.8,280114
CNW,20190506,0.051,0.051,0.048,0.049,3865315
COB,20190506,0.15,0.15,0.145,0.15,171480
COE,20190506,0.52,0.527,0.51,0.52,3364369
COG,20190506,0.096,0.096,0.092,0.092,6670955
COH,20190506,190.48,192.36,190.1,191,140206
COI,20190506,0.3,0.3,0.285,0.3,483983
COL,20190506,12.56,12.7,12.46,12.64,1936760
COO,20190506,0.027,0.027,0.027,0.027,71286
COY,20190506,0.008,0.008,0.008,0.008,2180
CP1,20190506,0.15,0.16,0.15,0.16,59770
CPH,20190506,0.44,0.445,0.43,0.43,246572
CPU,20190506,18.57,18.59,18.24,18.33,1278811
CPV,20190506,0.215,0.235,0.21,0.23,316402
CQE,20190506,3.6,3.65,3.55,3.58,114829
CQR,20190506,4.52,4.55,4.47,4.48,928926
CR1,20190506,0.23,0.23,0.23,0.23,2613
CRB,20190506,0.03,0.03,0.03,0.03,180041
CRD,20190506,1.515,1.53,1.42,1.48,1313071
CRL,20190506,0.029,0.03,0.027,0.027,626340
CRN,20190506,2.86,2.92,2.85,2.9,480551
CRO,20190506,0.008,0.008,0.008,0.008,2802111
CRS,20190506,0.15,0.15,0.145,0.145,130500
CSL,20190506,196.95,199.245,196.87,198.9,396344
CSR,20190506,3.44,3.51,3.35,3.36,2874372
CSS,20190506,0.955,0.955,0.95,0.95,52920
CSV,20190506,0.18,0.18,0.175,0.175,1322936
CTD,20190506,25.61,25.82,24.79,24.88,201475
CTM,20190506,0.005,0.005,0.005,0.005,6554334
CTO,20190506,0.004,0.005,0.004,0.005,1294012
CTP,20190506,0.145,0.15,0.145,0.15,318188
CTX,20190506,26.9,26.9,26.06,26.2,955814
CUE,20190506,0.067,0.067,0.067,0.067,10202
CUL,20190506,0.01,0.013,0.01,0.013,61663
CUP,20190506,0.5,0.51,0.5,0.5,33877
CUV,20190506,24.25,24.62,24.25,24.5,50300
CUX,20190506,0.006,0.006,0.006,0.006,1500000
CV1,20190506,0.12,0.12,0.12,0.12,29126
CVF,20190506,1.07,1.07,1.07,1.07,125398
CVN,20190506,0.435,0.437,0.415,0.415,5393003
CVW,20190506,0.72,0.79,0.72,0.79,27764
CWL,20190506,0.062,0.062,0.06,0.06,454763
CWN,20190506,13.11,13.39,13.11,13.37,891659
CWP,20190506,5.68,5.73,5.6,5.68,26063
CWX,20190506,0.125,0.125,0.12,0.12,77592
CWY,20190506,2.26,2.29,2.24,2.26,2972845
CXL,20190506,0.72,0.72,0.72,0.72,4665
CXM,20190506,0.115,0.115,0.11,0.11,31198
CXO,20190506,0.046,0.047,0.045,0.047,1651542
CXU,20190506,0.02,0.02,0.02,0.02,30000
CXZ,20190506,0.012,0.012,0.012,0.012,2107552
CYB,20190506,3.78,3.825,3.7,3.73,1989177
CYC,20190506,1.2,1.2,1.2,1.2,1600
CYG,20190506,0.85,0.85,0.82,0.82,42014
CYL,20190506,1.85,1.86,1.78,1.78,23248
CYP,20190506,1.185,1.185,1.11,1.14,74952
CZI,20190506,0.095,0.095,0.093,0.093,396622
CZL,20190506,0.014,0.014,0.012,0.013,1648577
CZN,20190506,0.003,0.003,0.003,0.003,26950
D2O,20190506,1.505,1.51,1.495,1.495,43003
DAU,20190506,0.025,0.025,0.024,0.024,44075
DAV,20190506,0.051,0.051,0.051,0.051,40000
DCC,20190506,0.065,0.066,0.06,0.06,3761279
DCG,20190506,0.895,0.895,0.86,0.895,87765
DCL,20190506,0.14,0.14,0.14,0.14,32350
DCN,20190506,1.95,1.975,1.91,1.92,398903
DDR,20190506,4.28,4.35,4.28,4.3,28658
DDT,20190506,0.008,0.008,0.008,0.008,100371
DEG,20190506,0.085,0.085,0.08,0.08,459669
DEM,20190506,0.135,0.135,0.135,0.135,6840
DEV,20190506,0.044,0.045,0.044,0.045,250000
DFM,20190506,0.85,0.86,0.845,0.85,73107
DGH,20190506,1.305,1.305,1.3,1.3,4000
DGR,20190506,0.13,0.13,0.13,0.13,79799
DHG,20190506,2.8,2.95,2.8,2.91,1222612
DIV,20190506,20.9,20.9,20.9,20.9,47
DJW,20190506,3.13,3.13,3.1,3.1,204746
DLX,20190506,9.77,9.78,9.75,9.77,1200484
DME,20190506,0.15,0.15,0.15,0.15,180
DMP,20190506,42.05,42.59,41.54,41.63,138081
DN8,20190506,0.105,0.105,0.1,0.1,90000
DNA,20190506,0.085,0.085,0.082,0.082,977117
